,EMIS,schoolName,districtName,circuit,cluster,sector,phase,schoolStatus,schoolType,suburb,city,closestTown,phoneNum,faxNum,GIS_Long,GIS_Lat,section21,quintile,managerName,email,landOwner,buildingOwner,address_old,cellno,snapEnrol,gradeREnrol,boarding,priorityOrder,lowestlevelCode,projectNum,agent,programme,strategic,bid,parent,description,source,programmeName,projectSize,projectStage,nature,scoa,startDate,endDate,totalCost,MTEF_2011_12,MTEF_2012_13,MTEF_2013_14,MTEF_2014_15,MTEF_2015_16,Revised_15_16_Budget,IA_Required_Budget,Variance,MTEF_2016_17,MTEF_2017_18,MTEF_2018_19,MTEF_2019_20,MTEF_2020_21,MTEF_2021_22,MTEF_2022_23,MTEF_2023_24,MTEF_2024_25,MTEF_2025_26,MTEF_2026_27,MTEF_2028_29,MTEF_2029_30,MTEF_2030_31,MTEF_2031_32,MTEF_2032_33,MTEF_2033_34,PWC_List,Snap_survey,ecplanComments,ASIDI_NDPW,asidiYear,asidiStatus,asidiCommentsA,asidiCommentsB,inEC,inASIDI
11,200100012,ADELAIDE GYMNASIUM,FORT BEAUFORT,CIRCUIT 8,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,LINGELETHU,ADELAIDE,Adelaide,466840006,466841114,26.29476,-32.71036,Yes,4,VAN SCHALKWYK IJ,admin.adegim@r63.co.za,PUBLIC,PUBLIC,"WELSH ADELAIDE STREET,LINGELETHU,ADELAIDE,5760",829685817,473,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
12,200100013,ADELAIDE PRIMARY SCHOOL,FORT BEAUFORT,CIRCUIT 8,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,LINGELETHU,ADELAIDE,Adelaide,466840161,865292635,26.29388,-32.70782,Yes,4,HUMAN MG,adelprim@r63.co.za,PUBLIC,TO BE UPDATED,"GREY STREET,LINGELETHU,ADELAIDE,5760",729904993,280,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
13,200100014,ADELAIDE JUNIOR SECONDARY SCHOOL,FORT BEAUFORT,CIRCUIT 8,C,Public,COMBINED SCHOOL,OPERATIONAL,ORDINARY SCHOOL,LINGELETHU,ADELAIDE,Adelaide,466840200,466840200,26.29792,-32.68456,Yes,3,"DOUGLAS ,EHO",pvgeswendt@gmail.com,PUBLIC,PUBLIC,"PERCY JOSEPH STREET,LINGELETHU,ADELAIDE,5760",794392018,862,98,FALSE,NA,30775228,CDC/768/12,CDC,CDC ECD II,ECD COSTED,Active,ECD Centre,NA,Educational Infrastructure Grant,Early Childhood Development,Large,Practical completion,New Infrastructure Assets,Building & other fixed structures,2-Apr-15,31-Mar-18,NA, -   , -   ,"2,265","6,895",90,135,135, -   , -   , -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,NA,NA,NA,1,0
14,200100014,ADELAIDE JUNIOR SECONDARY SCHOOL,FORT BEAUFORT,CIRCUIT 8,C,Public,COMBINED SCHOOL,OPERATIONAL,ORDINARY SCHOOL,LINGELETHU,ADELAIDE,Adelaide,466840200,466840200,26.29792,-32.68456,Yes,3,"DOUGLAS ,EHO",pvgeswendt@gmail.com,PUBLIC,PUBLIC,"PERCY JOSEPH STREET,LINGELETHU,ADELAIDE,5760",794392018,862,98,FALSE,2,NA,NA,CDC,CDC COMBINED PRIORITY,COMBINED PRIORITY,Approved,Re-alignment,NA,Educational Infrastructure Grant,Public Ordinary Schools,Large,Documentation,New Infrastructure Assets,Building & other fixed structures,NA,NA,"34,866", -   , -   , -   ,NA,"3,487",NA,NA,NA, -   , -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ADELAIDE P SCHOOL,ADELAIDE PRIMARY SCHOOL,NA,#N/A,NA,NA,NA,NA,1,0
15,200100015,ADENDORP PRIMARY SCHOOL,GRAAFF-REINET,Circuit 3,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,GRAAFF-REINET,ADENDORP,Adendorp,498930220,498925402,24.54938,-32.30348,Yes,3,MCINGA V,NA,PUBLIC,TO BE UPDATED,"17 VAN JAARSVELD STREET,GRAAFF-REINET,ADENDORP,6282",NA,133,23,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
16,200100016,ADOLPH SCHAUDER PRIMARY SCHOOL,PORT ELIZABETH,Circuit 8,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,SCHAUDERVILLE,PORT ELIZABETH,Newton Park,414514406,414514406,25.56127,-33.93187,No,3,"MATTHEWS ,TP",200100016@vodamail.co.za,PUBLIC,PUBLIC,"GIDEON ROAD,SCHAUDERVILLE,PORT ELIZABETH,6020",834516679,526,50,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
17,200100018,AEROVILLE SECONDARY SCHOOL,GRAAFF-REINET,Circuit 4,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,AEROVILLE,SOMERSETEAST,Somerset East,422432613,422433919,25.60073,-32.74592,Yes,3,CAFU ZJ,aerovilless@gmail.com,PUBLIC,PUBLIC,"PERSEVERRANCE ROAD,AEROVILLE,SOMERSETEAST,5850",829232010,903,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
18,200100019,AL-AZHAR PRIMARY SCHOOL,PORT ELIZABETH,Circuit 11,C,Independent/Private,COMBINED SCHOOL,OPERATIONAL,ORDINARY SCHOOL,MALABAR,PORT ELIZABETH,PORT ELIZABETH,414571504,414571573,25.5367,-33.91939,N/A,NA,MEHMET NACI KAYA,info@alazharinstitute.co.za,PRIVATE,TO BE UPDATED,"42 MALABAR,MALABAR,PORT ELIZABETH,6000",823124578,365,40,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
19,200100020,ALEX JAYIYA PRIMARY SCHOOL,UITENHAGE,CIRCUIT 5,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,KWA NOBUHLE 2,UITENHAGE,Kwanobuhle,419772614,419772614,25.3933,-33.80511,No,3,NKUMANDA PL,bambisopl62@gmail.com,PUBLIC,PUBLIC,"NGANI ROAD,KWA NOBUHLE 2,UITENHAGE,6242",781540729,413,79,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
20,200100021,ALEXANDER ROAD HIGH SCHOOL,PORT ELIZABETH,Circuit 3,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NEWTONPARK,PORT ELIZABETH,Newton Park,413651270,413651196,25.57181,-33.94147,Yes,5,"MANSER ,PG",info@arhs.co.za,PUBLIC,PUBLIC,"ALEXANDER ROAD,NEWTONPARK,PORT ELIZABETH,6055",836330887,1081,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
21,200100022,KING'S KIDZ SCHOOL,FORT BEAUFORT,CIRCUIT 7,C,Independent/Private,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,FORT BEAUFORT,NA,466451272,466451272,0,0,N/A,NA,NA,rosode@yahoo.com,PRIVATE,TO BE UPDATED,NA,829586328,135,38,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
22,200100023,ALEXANDRIA PRIMARY SCHOOL,GRAHAMSTOWN,CIRCUIT 4,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,ALEXANDRIA,Alexandria,466530221,466530221,26.41553,-33.6501,Yes,3,CANNON A,alexandria.primary.school@telkomsa.net,PUBLIC,PUBLIC,"OLIENHOUT STREET,ALEXANDRIA,ALEXANDRIA,6185",NA,440,65,FALSE,2,NA,NA,DOE,NA,ADDITIONAL CLASSROOMS,Proposed,Norms & Standards,NA,Educational Infrastructure Grant,Public Ordinary Schools,Large,Project Proposal / Concept Report,Upgrades and Additions,Building & other fixed structures,NA,NA,"1,577", -   , -   , -   ,NA, -   ,NA,NA,NA,473,"1,104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,#N/A,NA,#N/A,NA,NA,NA,NA,1,0
23,200100024,ALEXANDRIA HIGH SCHOOL,GRAHAMSTOWN,CIRCUIT 4,C,Public,COMBINED SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,ALEXANDRIA,Alexandria,466530126,466530628,26.40867,-33.65411,Yes,3,MEYER AJ,alexandriahigh@telkomsa.net,PUBLIC,PUBLIC,"CORNER VOORTREKKER AND KROG STREET,ALEXANDRIA,ALEXANDRIA,6185",828427851,720,33,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
24,200100025,ALPHA PRIMARY SCHOOL,PORT ELIZABETH,Circuit 8,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,PORT ELIZABETH,GELVANDALE,Gelvandale,414523255,414563406,25.5479,-33.91199,No,3,ARENDSE AJ,alphaprimary25@gmail.com,PUBLIC,TO BE UPDATED,"BELL ROAD,PORT ELIZABETH,GELVANDALE,6016",NA,830,61,FALSE,5,NA,NA,DOE,NA,ADDITIONAL CLASSROOMS,Proposed,Norms & Standards,NA,Educational Infrastructure Grant,Public Ordinary Schools,Large,Project Proposal / Concept Report,Upgrades and Additions,Building & other fixed structures,1-Apr-17,31-Mar-19,"3,557", -   , -   , -   ,NA, -   ,NA,NA,NA, -   ,"1,067","2,490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,NA,NA,NA,1,0
25,200100027,ALTONA PRIMARY SCHOOL,PORT ELIZABETH,Circuit 9,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,FARMS PORT ELIZABETH,PORT ELIZABETH,Westering,413721041,413721043,25.4145,-33.9342,Yes,5,KRIEK T,altonaschool@telkomsa.net,PUBLIC,TO BE UPDATED,"ALTONA ROAD,FARMS PORT ELIZABETH,PORT ELIZABETH,6015",845721043,453,36,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
26,200100030,SIPHO CAMAGU HIGH SCHOOL,FORT BEAUFORT,CIRCUIT 8,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,LINGELETHU,ADELAIDE,Adelaide,466849111,466849111,26.30972,-32.69011,Yes,3,"MONESE  ,NL",AMAJINGQI@GMAIL.COM ,PUBLIC,PUBLIC,"584 BONANI STREET,LINGELETHU,ADELAIDE,5760",833673674,504,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
27,200100031,AMANZI PRIMARY SCHOOL,UITENHAGE,CIRCUIT 2,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,UITENHAGE,Despatch,419615093,419661119,25.50848,-33.71653,No,2,JAUKA VD,NA,PUBLIC,TO BE UPDATED,"AMANZI ESTATE,UITENHAGE,6230",844077072,23,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
28,200100032,ANDREW MOYAKE PUBLIC SCHOOL,GRAHAMSTOWN,CIRCUIT 1,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,RHINI,GRAHAMSTOWN,Grahamstown,466362919,NA,26.54977,-33.31112,No,3,LOSE MG,NA,PUBLIC,TO BE UPDATED,"A A STREET,RHINI,GRAHAMSTOWN,6140",NA,170,46,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
29,200100033,ANDREW RABIE HIGH SCHOOL,PORT ELIZABETH,Circuit 4,C,Public,SECONDARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,PORT ELIZABETH,GREENACRES,Newton Park,413745604,866929796,25.58175,-33.94302,Yes,3,BOTHA WJ,admin@andrewrabie.co.za,PUBLIC,PUBLIC,"ARAGON,PORT ELIZABETH,GREENACRES,6057",833803747,458,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
30,200100034,ANDRIESKRAAL PRIMARY SCHOOL,UITENHAGE,CIRCUIT 3,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,NA,PATENSIE,Andrieskraal,NA,NA,24.67303,-33.75145,No,2,"HENDRICKS ,HM",HORATIOHENDRICKS@GMAIL.COM,PUBLIC,TO BE UPDATED,"SONOP FARM,PATENSIE,",731215997,137,11,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
31,200100035,ANKERVAS PRIMARY SCHOOL,UITENHAGE,CIRCUIT 5,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,UITENHAGE FARMS,UITENHAGE,Kwanobuhle,419555825,419555331,25.31677,-33.8606,Yes,4,"BAKKES ,FC",ankervas@aerosat.co.za,PUBLIC,TO BE UPDATED,"ROCKLANDS ROAD,UITENHAGE,UITENHAGE FARMS,UITENHAGE,6230",847628427,450,57,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
32,200100036,ARCADIA PRIMARY SCHOOL,PORT ELIZABETH,Circuit 9,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,PORT ELIZABETH,SALTVILLE,Bethelsdorp,414811105,414813814,25.5224,-33.8816,No,3,LOGGENBERG GS,arcadiaprimary@telkomsa.net,PUBLIC,TO BE UPDATED,"CLAASEN STREET,PORT ELIZABETH,SALTVILLE,6058",823202395,1012,102,FALSE,3,NA,NA,CDC,CDC ECD III,ECD COSTED,Approved,ECD Centre,NA,Educational Infrastructure Grant,Early Childhood Development,Large,Planning,New Infrastructure Assets,Building & other fixed structures,1-Apr-15,31-Mar-17,"8,276", -   , -   , -   , -   ,828,NA,NA,NA,"7,448", -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,NA,NA,NA,1,0
33,200100036,ARCADIA PRIMARY SCHOOL,PORT ELIZABETH,Circuit 9,C,Public,PRIMARY SCHOOL,OPERATIONAL,ORDINARY SCHOOL,PORT ELIZABETH,SALTVILLE,Bethelsdorp,414811105,414813814,25.5224,-33.8816,No,3,LOGGENBERG GS,arcadiaprimary@telkomsa.net,PUBLIC,TO BE UPDATED,"CLAASEN STREET,PORT ELIZABETH,SALTVILLE,6058",823202395,1012,102,FALSE,NA,NA,NA,DOE,NA,INSUFFICIENT WATER & SAN,Proposed,Norms & Standards,NA,Educational Infrastructure Grant,Public Ordinary Schools,Large,Project Proposal / Concept Report,New Infrastructure Assets,Building & other fixed structures,6-Apr-16,31-Mar-17,"2,374", -   , -   , -   ,NA, -   ,NA,NA,NA,"2,486", -   ,NA,"1,741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A,NA,NA,NA,NA,1,0
